,importance
sensor_13,0.2959743395425645
sensor_11,0.25898060334205936
sensor_15,0.20006930506040002
sensor_4,0.1591337990348644
sensor_8,0.024004623709175173
sensor_14,0.021697344314253065
sensor_9,0.018175842401966166
sensor_2,0.008415949790652317
sensor_12,0.003515987218427395
sensor_3,0.002821875428592825
sensor_17,0.002744893011437141
sensor_7,0.001902404004650247
sensor_21,0.001056949472273642
sensor_16,0.0006713253545821061
sensor_20,0.0004970384505249468
op_setting_1,0.000202346436246394
op_setting_2,9.678141455989621e-05
sensor_6,3.0885176608814134e-05
sensor_18,7.08470885798866e-06
sensor_10,6.221273035406381e-07
sensor_5,0.0
sensor_1,0.0
op_setting_3,0.0
sensor_19,0.0
